row_id,microbusiness_density
1001_2022-11-01,143.5553436279297
1003_2022-11-01,0.0
1005_2022-11-01,69.05542755126953
1007_2022-11-01,0.0
1009_2022-11-01,0.0
1011_2022-11-01,52.18455123901367
1013_2022-11-01,0.0
1015_2022-11-01,126.04107666015625
1017_2022-11-01,64.21617126464844
1019_2022-11-01,2.201272964477539
1021_2022-11-01,0.0
1023_2022-11-01,0.0
1025_2022-11-01,61.99410629272461
1027_2022-11-01,0.0
1029_2022-11-01,23.4977970123291
1031_2022-11-01,119.56990814208984
1033_2022-11-01,17.799863815307617
1035_2022-11-01,52.74398422241211
1037_2022-11-01,13.09196662902832
1039_2022-11-01,75.26873016357422
1041_2022-11-01,43.76926803588867
1043_2022-11-01,144.02134704589844
1045_2022-11-01,0.0
1047_2022-11-01,0.0
1049_2022-11-01,0.0
1051_2022-11-01,140.77554321289062
1053_2022-11-01,69.26642608642578
1055_2022-11-01,107.1062240600586
1057_2022-11-01,54.10492706298828
1059_2022-11-01,55.53437423706055
1061_2022-11-01,74.24237823486328
1063_2022-11-01,51.28633117675781
1065_2022-11-01,0.0
1067_2022-11-01,3.0971927642822266
1069_2022-11-01,0.0
1071_2022-11-01,0.0
1073_2022-11-01,301.9521179199219
1075_2022-11-01,0.0
1077_2022-11-01,0.0
1079_2022-11-01,0.0
1081_2022-11-01,0.0
1083_2022-11-01,149.7395477294922
1085_2022-11-01,0.0
1087_2022-11-01,87.69368743896484
1089_2022-11-01,17.141164779663086
1091_2022-11-01,78.93954467773438
1093_2022-11-01,84.42938232421875
1095_2022-11-01,127.5733413696289
1097_2022-11-01,179.6538848876953
1099_2022-11-01,0.0
1101_2022-11-01,0.0
1103_2022-11-01,157.3836669921875
1105_2022-11-01,0.0
1107_2022-11-01,19.800140380859375
1109_2022-11-01,0.0
1111_2022-11-01,90.02790832519531
1113_2022-11-01,0.0
1115_2022-11-01,132.52090454101562
1117_2022-11-01,5.871977806091309
1119_2022-11-01,56.183860778808594
1121_2022-11-01,71.1757583618164
1123_2022-11-01,0.0
1125_2022-11-01,268.4036865234375
1127_2022-11-01,91.03897857666016
1129_2022-11-01,26.99070167541504
1131_2022-11-01,0.0
1133_2022-11-01,60.58319091796875
2013_2022-11-01,52.617271423339844
2016_2022-11-01,59.12054443359375
2020_2022-11-01,330.2681579589844
2050_2022-11-01,0.0
2060_2022-11-01,634.3822631835938
2068_2022-11-01,691.1048583984375
2070_2022-11-01,85.58700561523438
2090_2022-11-01,183.81182861328125
2100_2022-11-01,0.0
2105_2022-11-01,4.007823944091797
2110_2022-11-01,185.86599731445312
2122_2022-11-01,0.0
2130_2022-11-01,296.6910400390625
2150_2022-11-01,160.13011169433594
2164_2022-11-01,122.41954040527344
2170_2022-11-01,0.0
2180_2022-11-01,0.0
2185_2022-11-01,0.0
2188_2022-11-01,2.8755202293395996
2195_2022-11-01,132.64572143554688
2198_2022-11-01,147.88417053222656
2220_2022-11-01,0.0
2230_2022-11-01,392.5539245605469
2240_2022-11-01,217.56356811523438
2275_2022-11-01,243.2865753173828
2282_2022-11-01,188.36875915527344
2290_2022-11-01,103.69261932373047
4001_2022-11-01,248.5980682373047
4003_2022-11-01,164.51434326171875
4005_2022-11-01,0.743653416633606
4007_2022-11-01,220.88613891601562
4009_2022-11-01,0.0
4011_2022-11-01,1.9103777408599854
4012_2022-11-01,0.0
4013_2022-11-01,0.0
4015_2022-11-01,231.43411254882812
4017_2022-11-01,0.0
4019_2022-11-01,0.0
4021_2022-11-01,87.67949676513672
4023_2022-11-01,235.25418090820312
4025_2022-11-01,441.8750305175781
4027_2022-11-01,111.18231964111328
5001_2022-11-01,68.41708374023438
5003_2022-11-01,0.0
5005_2022-11-01,153.95669555664062
5007_2022-11-01,277.8378601074219
5009_2022-11-01,0.0
5011_2022-11-01,0.0
5013_2022-11-01,17.047374725341797
5015_2022-11-01,313.6047058105469
5017_2022-11-01,0.0
5019_2022-11-01,0.0
5021_2022-11-01,0.0
5023_2022-11-01,0.0
5025_2022-11-01,27.36773681640625
5027_2022-11-01,55.931270599365234
5029_2022-11-01,0.0
5031_2022-11-01,3.076998233795166
5033_2022-11-01,0.0
5035_2022-11-01,88.94466400146484
5037_2022-11-01,33.82514190673828
5039_2022-11-01,15.501734733581543
5041_2022-11-01,60.791080474853516
5043_2022-11-01,35.53709030151367
5045_2022-11-01,0.0
5047_2022-11-01,0.0
5049_2022-11-01,0.0
5051_2022-11-01,0.0
5053_2022-11-01,43.82706069946289
5055_2022-11-01,105.01382446289062
5057_2022-11-01,52.05064392089844
5059_2022-11-01,61.26420974731445
5061_2022-11-01,0.0
5063_2022-11-01,78.38370513916016
5065_2022-11-01,0.0
5067_2022-11-01,35.15666198730469
5069_2022-11-01,60.503318786621094
5071_2022-11-01,111.70022583007812
5073_2022-11-01,9.212342262268066
5075_2022-11-01,18.150588989257812
5077_2022-11-01,39.47844696044922
5079_2022-11-01,20.143232345581055
5081_2022-11-01,0.0
5083_2022-11-01,56.22768020629883
5085_2022-11-01,0.0
5087_2022-11-01,92.12773895263672
5089_2022-11-01,129.74363708496094
5091_2022-11-01,0.0
5093_2022-11-01,62.2778205871582
5095_2022-11-01,45.360538482666016
5097_2022-11-01,0.0
5099_2022-11-01,0.0
5101_2022-11-01,107.03718566894531
5103_2022-11-01,64.74981689453125
5105_2022-11-01,207.28565979003906
5107_2022-11-01,65.19178771972656
5109_2022-11-01,54.55830764770508
5111_2022-11-01,3.5268614292144775
5113_2022-11-01,88.384521484375
5115_2022-11-01,131.67507934570312
5117_2022-11-01,19.93986701965332
5119_2022-11-01,301.99169921875
5121_2022-11-01,0.0
5123_2022-11-01,32.64607238769531
5125_2022-11-01,172.7361297607422
5127_2022-11-01,8.797720909118652
5129_2022-11-01,0.0
5131_2022-11-01,0.0
5133_2022-11-01,0.0
5135_2022-11-01,0.0
5137_2022-11-01,118.60720825195312
5139_2022-11-01,10.322420120239258
5141_2022-11-01,105.67521667480469
5143_2022-11-01,0.0
5145_2022-11-01,0.0
5147_2022-11-01,0.0
5149_2022-11-01,0.0
6001_2022-11-01,0.0
